Product Title,Brand,Collection,Product Type,Primary Goal,Current Status,SEO Title,Meta Description,Description Status,Image Status,Label Update Needed,Notes
Beauty Glow Pack,Take2NewU,Wellness Bundles,Bundle,Beauty,Known live product,Beauty Glow Pack | Take2NewU,"Shop the Take2NewU Beauty Glow Pack, a curated wellness bundle designed to support a consistent beauty-focused routine.",Needs supplier/formula verification,Needs audit,Yes,Confirm exact products included before rewriting
Calm Magnesium,Take2NewU,Take2NewU Wellness,Supplement,Calm,Known live product,Calm Magnesium | Take2NewU,"Shop Calm Magnesium from Take2NewU for simple daily magnesium support as part of a balanced wellness routine.",Needs supplier label verification,Needs audit,Yes,Avoid sleep or anxiety treatment claims
Daily D+K Balance,Take2NewU,Take2NewU Wellness,Supplement,Daily wellness,Known live product,Daily D+K Balance | Take2NewU,"Shop Daily D+K Balance from Take2NewU for vitamin D3 and K2 support in an everyday wellness routine.",Needs formula verification,Needs audit,Yes,Confirm dose and exact vitamin forms
Glow Collagen Peptides,Take2NewU,Take2NewU Wellness,Supplement,Beauty,Known live product,Glow Collagen Peptides | Take2NewU,"Shop Glow Collagen Peptides from Take2NewU for a convenient beauty and wellness routine.",Needs source and formula verification,Needs audit,Yes,Avoid guaranteed hair skin nail claims
Golden Joint & Recovery,Take2NewU,Take2NewU Wellness,Supplement,Joint and recovery,Known live product,Golden Joint & Recovery | Take2NewU,"Shop Golden Joint & Recovery from Take2NewU for everyday mobility and recovery support.",Needs ingredient verification,Needs audit,Yes,Avoid pain treatment claims
Gut Harmony Probiotics,Take2NewU,Take2NewU Wellness,Supplement,Gut health,Known live product,Gut Harmony Probiotics | Take2NewU,"Shop Gut Harmony Probiotics from Take2NewU for daily digestive wellness support.",Needs strain and CFU verification,Needs audit,Yes,Confirm storage requirements
Men’s Daily Wellness,Take2NewU,Take2NewU Wellness,Supplement,Men's wellness,Known live product,Men’s Daily Wellness | Take2NewU,"Shop Men’s Daily Wellness from Take2NewU for practical foundational support in a daily routine.",Needs formula verification,Needs audit,Yes,Confirm target and cautions
Mind Focus Pack,Take2NewU,Wellness Bundles,Bundle,Focus,Known live product,Mind Focus Pack | Take2NewU,"Shop the Take2NewU Mind Focus Pack, a curated bundle for a consistent focus-support routine.",Needs included-product verification,Needs audit,Yes,Avoid cognitive treatment claims
Beauty Pack,Take2NewU,Wellness Bundles,Bundle,Beauty,Known pack,Beauty Wellness Pack | Take2NewU,"Explore a curated Take2NewU wellness bundle created for a practical beauty-focused routine.",Needs contents confirmation,Needs audit,Yes,Verify whether duplicate of Beauty Glow Pack
Brain / Mind Focus Pack,Take2NewU,Wellness Bundles,Bundle,Focus,Known pack,Mind Focus Wellness Pack | Take2NewU,"Explore a curated Take2NewU bundle for a simple daily focus-support routine.",Needs contents confirmation,Needs audit,Yes,Resolve naming against Mind Focus Pack
Men’s Pack,Take2NewU,Wellness Bundles,Bundle,Men's wellness,Known pack,Men’s Wellness Pack | Take2NewU,"Explore a curated Take2NewU wellness bundle designed for a straightforward men’s routine.",Needs contents confirmation,Needs audit,Yes,Confirm product list and pricing
Women’s Pack,Take2NewU,Wellness Bundles,Bundle,Women's wellness,Known pack,Women’s Wellness Pack | Take2NewU,"Explore a curated Take2NewU wellness bundle designed for a practical women’s routine.",Needs contents confirmation,Needs audit,Yes,Confirm product list and pricing
Body Wash,Chizel,Chizel,Skincare,Men's grooming,Known live product,Chizel Body Wash | Take2NewU,"Shop Chizel Body Wash for a clean, straightforward men’s grooming routine.",Needs supplier copy audit,Needs audit,No,Confirm scent size ingredients and directions
Hydration Lock Lotion,Chizel,Chizel,Skincare,Men's grooming,Known live product,Chizel Hydration Lock Lotion | Take2NewU,"Shop Chizel Hydration Lock Lotion for uncomplicated daily moisture and men’s skin care.",Needs supplier copy audit,Needs audit,No,Confirm size ingredients and usage
Daily Face Cleanser,Chizel,Chizel,Skincare,Men's grooming,Known live product,Chizel Daily Face Cleanser | Take2NewU,"Shop Chizel Daily Face Cleanser for a simple everyday men’s skincare routine.",Needs supplier copy audit,Needs audit,No,Confirm skin types size and ingredients
Estivi products,Estivi,Estivi,Skincare,Younger skin,8 products reported,Estivi Skincare | Take2NewU,"Explore Estivi skincare for fresh, approachable care and uncomplicated routines.",Needs exact product export,Needs audit,No,Obtain all 8 exact titles variants prices and supplier details
Bellezza Duratura products,Bellezza Duratura,Bellezza Duratura,Skincare,Mature skin,Needs loading/audit,Bellezza Duratura Skincare | Take2NewU,"Explore Bellezza Duratura skincare for mature skin, lasting hydration, and refined daily care.",Needs exact product export,Needs audit,No,High priority once Shopify access is connected
